Season,Week,Name,Industry,Age,Judge_Score_Sum,Num_Judges,Max_Possible_Score,Is_Eliminated,System_Type,Final_Placement,Week_Total_Judge_Score,Judge_Share_Pct,Judge_Rank_In_Week,Estimated_Fan_Share,Estimated_Fan_Rank
1,1,John O'Hurley,Actor/Actress,50,20.0,3,30,0,Rank,2,109.0,0.183486239,1,0.285714286,1
1,1,Kelly Monaco,Actor/Actress,29,13.0,3,30,0,Rank,1,109.0,0.119266055,6,0.047619048,6
1,1,Evander Holyfield,Athlete,42,18.0,3,30,0,Rank,5,109.0,0.165137615,4,0.142857143,4
1,1,Rachel Hunter,Model,35,20.0,3,30,0,Rank,4,109.0,0.183486239,1,0.238095238,2
1,1,Joey McIntyre,Singer/Rapper,32,20.0,3,30,0,Rank,3,109.0,0.183486239,1,0.19047619,3
1,1,Trista Sutter,TV Personality,32,18.0,3,30,0,Rank,6,109.0,0.165137615,4,0.095238095,5
1,2,John O'Hurley,Actor/Actress,50,26.0,3,30,0,Rank,2,121.0,0.214876033,1,0.285714286,1
1,2,Kelly Monaco,Actor/Actress,29,17.0,3,30,0,Rank,1,121.0,0.140495868,5,0.238095238,2
1,2,Evander Holyfield,Athlete,42,14.0,3,30,0,Rank,5,121.0,0.115702479,6,0.142857143,4
1,2,Rachel Hunter,Model,35,24.0,3,30,0,Rank,4,121.0,0.198347107,2,0.095238095,5
1,2,Joey McIntyre,Singer/Rapper,32,21.0,3,30,0,Rank,3,121.0,0.173553719,3,0.19047619,3
1,2,Trista Sutter,TV Personality,32,19.0,3,30,1,Rank,6,121.0,0.157024793,4,0.047619048,6
1,3,John O'Hurley,Actor/Actress,50,24.0,3,30,0,Rank,2,106.0,0.226415094,2,0.266666667,2
1,3,Kelly Monaco,Actor/Actress,29,21.0,3,30,0,Rank,1,106.0,0.198113208,4,0.133333333,4
1,3,Evander Holyfield,Athlete,42,13.0,3,30,1,Rank,5,106.0,0.122641509,5,0.066666667,5
1,3,Rachel Hunter,Model,35,26.0,3,30,0,Rank,4,106.0,0.245283019,1,0.333333333,1
1,3,Joey McIntyre,Singer/Rapper,32,22.0,3,30,0,Rank,3,106.0,0.20754717,3,0.2,3
1,4,John O'Hurley,Actor/Actress,50,21.0,3,30,0,Rank,2,92.0,0.22826087,3,0.2,3
1,4,Kelly Monaco,Actor/Actress,29,26.0,3,30,0,Rank,1,92.0,0.282608696,1,0.4,1
1,4,Rachel Hunter,Model,35,25.0,3,30,1,Rank,4,92.0,0.27173913,2,0.1,4
