season,week,viewers,predicted_votes_million
1,1,13.48,5.392
1,2,15.09,6.036
1,3,15.67,6.268
1,4,15.52,6.208
1,5,18.59,7.436
1,6,22.36,8.944
2,1,17.46,6.984
2,2,17.36,6.944
2,3,18.98,7.592
2,4,19.37,7.748
2,5,18.83,7.532
2,6,19.96,7.984
2,7,19.26,7.704
2,8,27.23,10.892
3,1,20.22,8.088
3,2,17.92,7.168
3,3,17.91,7.164
3,4,18.38,7.352
3,5,20.1,8.04
3,6,21.25,8.5
3,7,20.69,8.276
3,8,20.51,8.204
3,9,21.98,8.792
3,10,27.51,11.004
4,1,21.8,8.72
4,2,20.42,8.168
4,3,18.24,7.296
4,4,18.84,7.536
4,5,18.87,7.548
4,6,18.87,7.548
4,7,18.97,7.588
4,8,19.44,7.776
4,9,19.58,7.832
4,10,22.96,9.184
5,1,21.25,8.5
5,2,20.21,8.084
5,3,19.62,7.848
5,4,19.4,7.76
5,5,21.37,8.548
5,6,21.43,8.572
5,7,20.47,8.188
5,8,21.81,8.724
5,9,22.85,9.14
5,10,24.87,9.948
6,1,21.15,8.46
6,2,20.51,8.204
6,3,20.56,8.224
6,4,19.68,7.872
6,5,17.2,6.88
6,6,18.04,7.216
6,7,18.22,7.288
6,8,18.38,7.352
6,9,18.47,7.388
6,10,20.12,8.048
7,1,21.34,8.536
7,2,18.88,7.552
7,3,18.59,7.436
7,4,17.76,7.104
7,5,18.5,7.4
7,6,18.88,7.552
7,7,17.09,6.836
7,8,18.69,7.476
7,9,19.63,7.852
7,10,21.09,8.436
8,1,22.83,9.132
8,2,21.22,8.488
8,3,20.34,8.136
8,4,20.48,8.192
8,5,19.88,7.952
8,6,19.46,7.784
8,7,20.53,8.212
8,8,19.23,7.692
8,9,20.28,8.112
8,10,18.55,7.42
8,11,20.31,8.124
9,1,17.79,7.116
9,2,17.03,6.812
9,3,16.35,6.54
9,4,16.79,6.716
9,5,16.82,6.728
9,6,17.38,6.952
9,7,16.69,6.676
9,8,17.62,7.048
9,9,18.84,7.536
9,10,20.41,8.164
10,1,24.19,9.676
10,2,22.97,9.188
10,3,21.21,8.484
10,4,20.56,8.224
10,5,21.07,8.428
10,6,20.4,8.16
10,7,19.64,7.856
10,8,19.16,7.664
10,9,19.04,7.616
10,10,19.36,7.744
11,1,21.0,8.401
11,2,21.341,8.537
11,3,19.889,7.956
11,4,19.526,7.811
11,5,19.33,7.733
11,6,20.412,8.166
11,7,19.934,7.974
11,8,19.952,7.982
11,9,20.679,8.272
11,10,24.19,9.677
12,1,22.77,9.11
12,2,21.55,8.622
12,3,20.84,8.338
12,4,19.96,7.986
12,5,19.42,7.77
12,6,20.15,8.062
12,7,19.68,7.874
12,8,20.3,8.122
12,9,20.95,8.382
12,10,21.44,8.578
13,1,19.03,7.616
13,2,16.23,6.496
13,3,16.4,6.564
13,4,16.6,6.644
13,5,17.47,6.992
13,6,16.99,6.8
13,7,16.3,6.524
13,8,18.03,7.216
13,9,18.5,7.404
13,10,19.61,7.848
14,1,18.79,7.525
14,2,17.96,7.192
14,3,16.87,6.756
14,4,16.39,6.563
14,5,16.65,6.668
14,6,17.62,7.056
14,7,16.2,6.487
14,8,16.37,6.555
14,9,15.79,6.323
14,10,17.75,7.108
15,1,14.11,5.657
15,2,12.38,4.963
15,3,13.55,5.432
15,4,13.64,5.468
15,5,13.27,5.32
15,6,13.9,5.573
15,7,13.48,5.404
15,8,13.79,5.529
15,9,14.28,5.725
15,10,16.73,6.707
16,1,17.06,6.854
16,2,14.47,5.813
16,3,13.98,5.616
16,4,13.15,5.283
16,5,13.4,5.383
16,6,13.77,5.532
16,7,13.45,5.403
